Date,Open,High,Low,Close,Volume
8/19/2013,507.27,513.34,507.16,511.02,61779610
8/16/2013,508.22,510.22,505.48,507.79,60576180
8/15/2013,505.03,509.6,505.03,508.22,63488110
8/14/2013,498.51,503.89,496.35,503.57,35781109
8/13/2013,499.46,502.63,497.4,497.73,36519563
8/12/2013,501.35,501.39,497.53,499.46,31953181
8/9/2013,498.88,502.04,498.88,500.62,28096325
8/8/2013,499.53,503.51,497.05,498.22,28326350
8/7/2013,496.95,502.26,495.02,500.1,40447500
8/6/2013,492.69,496.56,491.91,496.56,34416970
8/5/2013,494.38,496.74,492.75,493.66,29581536
8/2/2013,493.33,495.71,493.02,494.66,26274120
8/1/2013,490.9,494.31,489.57,492.43,31501926
7/31/2013,488.1,493.1,487.1,491.85,41623310
7/30/2013,485.78,490.36,485.74,488.54,30658664
7/29/2013,493.81,494.36,485.56,485.69,32825920
7/26/2013,493.5,495.16,487.92,493.93,43407252
7/25/2013,493.75,495.85,491.71,491.78,42246450
7/24/2013,503.67,504.27,493.36,494.18,60419850
7/23/2013,506.16,508.64,504.22,504.29,53031692
7/22/2013,505.11,507.71,501.63,506.16,54393220
7/19/2013,499.64,505.38,499.28,503.76,48105537
7/18/2013,495.68,500.51,494.23,496.84,53151656
7/17/2013,496.38,498.42,493.37,497.5,42123800
7/16/2013,494.66,497.83,493.74,496.22,42316076
7/15/2013,496.12,498.32,492.95,494.1,43476256
7/12/2013,485.14,493.99,485.13,493.99,51910584
7/11/2013,484.38,485.44,482.11,484.47,35042005
7/10/2013,487.81,489.83,484.43,484.43,32641826
7/9/2013,483.96,485.5,481.14,485.5,29843561
7/8/2013,485.24,485.95,480.58,482.77,40644804
7/5/2013,488.06,489.99,485.22,485.66,38315360
7/4/2013,489.23,490.65,486.49,487.22,39430283
7/3/2013,489.84,492.93,487.11,487.35,45909696
7/2/2013,480.72,490.14,480.72,489.84,37835960
7/1/2013,478.98,482.03,475.26,480.04,35055382
6/28/2013,484.84,485.94,479.94,481.13,62412303
6/27/2013,476.33,482.95,475,482.95,46019883
6/26/2013,473.26,476.47,466.41,473.53,66675880
6/25/2013,487.04,488.55,466.78,473.02,86819654
6/24/2013,500.44,501.14,487.41,489.74,58308957
6/21/2013,497.3,501.25,495.23,498.84,94144650
6/20/2013,502.22,503.75,498.55,499.51,49469013
6/19/2013,501.58,504.11,500.61,503.37,43058375
6/18/2013,497.06,500.54,495.5,498.88,55766067
6/17/2013,510.52,511.23,498.31,498.52,75810190
6/14/2013,517.14,518,509.03,509.03,60674030
6/13/2013,518.28,519.54,510.07,515.09,62541629
6/12/2013,521.21,524.91,518.24,518.24,70558170
6/11/2013,525.2,525.68,520.94,521.95,68047473
6/10/2013,530.97,533.15,524.56,524.56,94171518
6/7/2013,523.21,527.97,523.19,527.97,74548104
6/6/2013,513.43,521.28,513.16,520.9,72252080
6/5/2013,512.37,514.64,508.86,514.64,56284750
6/4/2013,517.03,521.96,510.69,510.69,78925460
6/3/2013,518.3,521.35,516.64,517.03,75928063
5/31/2013,526.58,526.58,518.39,518.39,150130800
5/30/2013,517.18,521.45,513.68,521.45,75593610
5/29/2013,517.91,520.36,511.31,515.09,99722935
5/28/2013,515.62,517.97,512.81,516.33,87434346
5/27/2013,504.38,516.08,504.38,512.41,93328190
5/24/2013,498.77,503.6,495.96,500.24,62516175
5/23/2013,501.15,506.58,498.22,498.22,80016322
5/22/2013,503.23,504.68,501.44,502.23,66881258
5/21/2013,496.09,502.6,495.95,500.18,88739473
5/20/2013,487.71,492.96,485.42,492.27,48672677
5/17/2013,489.99,491.85,487.6,487.6,50053792
5/16/2013,486,491.44,485.28,490.34,49810572
5/15/2013,482.82,487.52,481.8,485.97,37545485
5/14/2013,486.94,487.45,480.79,483.85,46531841
5/13/2013,486.96,490.38,486.96,488.93,45488710
5/10/2013,488.1,490.76,484.75,486.1,85569833
5/9/2013,485.44,488.57,485.2,486.22,101296500
5/8/2013,486.74,488.04,483.03,485.07,63517286
5/7/2013,489.35,491.56,484.39,485.58,58060770
5/6/2013,478.94,488.32,478.94,488.32,52992665
5/3/2013,471.14,475.24,470.81,475.24,26290070
5/2/2013,474.54,476.42,472.16,473.02,25838410
4/26/2013,477.04,479.12,474.43,474.51,31271830
4/25/2013,474.87,477.8,474.29,476.59,37107210
4/24/2013,474.48,475.75,472.89,472.89,32854256
4/23/2013,470.59,475.48,469.13,473.69,34007430
4/22/2013,471.81,472.95,466.78,468.43,39686012
4/18/2013,483.99,483.99,471.1,473.21,38515650
4/17/2013,482.17,483.99,476.53,483.99,30050340
4/16/2013,475.07,479.97,466.56,478.07,58211457
4/15/2013,491.65,491.77,478.8,480.02,54830087
4/12/2013,505.37,505.9,490.82,494.27,52307920
4/11/2013,501.39,504.51,497.08,504.07,52044150
4/10/2013,512.15,518.46,496.5,496.5,69177120
4/9/2013,505.09,512.85,504.16,510.49,60756650
4/8/2013,505,507.75,501.91,506.66,52180952
4/5/2013,501.16,503.36,497.83,502.58,48746281
4/4/2013,505.54,506.63,497.35,497.35,52179748
4/3/2013,509.29,511.59,502.38,505.93,57120710
4/2/2013,507.31,514.1,507.22,509.43,70263872
4/1/2013,490.66,505.81,489.9,505.81,55425380
3/29/2013,487.01,492.96,483.5,491.04,38988610
3/28/2013,491.64,495.12,487.67,490.67,45819350
3/27/2013,489.3,492.46,485.34,491.26,38971970
3/26/2013,494.19,496.32,489.14,489.46,47035194
3/25/2013,491.76,495.64,488.55,493.57,38338887
3/22/2013,492.88,500.59,486.15,489.99,54548270
3/21/2013,488.64,494.57,488.43,491.79,57177482
3/20/2013,481.88,488.94,480.53,487.04,52324250
3/19/2013,478.45,482.21,477.55,480.48,35321780
3/18/2013,481.53,482.59,478.54,479.13,49143918
3/15/2013,474.99,481.35,474.45,481.35,74398480
3/14/2013,471.63,474.6,470.81,474.6,46721200
3/13/2013,476.43,478.05,471.85,473.18,50256480
3/12/2013,475.23,478.67,470.51,475.34,60257774
3/11/2013,471.29,476.79,469.78,476.5,56612996
3/8/2013,468.1,471.75,468.1,470.68,31769910
3/7/2013,470.73,472.54,466.63,466.63,46949302
3/6/2013,466.96,471.09,464.19,471.09,35557546
3/5/2013,467.36,467.84,461.61,462.12,59788012
3/4/2013,477.04,479.06,468.74,468.74,74556964
3/1/2013,476.51,480.39,475.46,477.15,55928480
2/28/2013,465.72,476.41,465.72,474.56,53252280
2/27/2013,465.89,467.5,459.64,465.72,71438583
2/26/2013,482.5,482.5,463.64,465.05,93966050
2/25/2013,481.67,483.97,478.3,483.69,49618683
2/22/2013,482.03,487.11,470.23,477.69,107354080
2/21/2013,494.83,497.7,476.73,476.73,123304854
2/20/2013,487.99,495.82,487.68,494.83,78547246
2/19/2013,493.4,495.39,490.33,490.78,104487830
2/18/2013,497.87,497.87,493.95,493.95,69423530
2/8/2013,491.85,495.72,489.64,494.03,60721820
2/7/2013,490.88,493.72,488.03,490.62,73005691
2/6/2013,479.62,488.62,479.62,488.36,65145778
2/5/2013,481.82,482.56,477.36,477.36,63406967
2/4/2013,487.06,488.96,482.38,482.38,56882646
2/1/2013,477.11,483.42,473.23,483.42,76844944
1/31/2013,484.04,485.19,479.79,479.79,80500630
1/30/2013,486.67,490.89,482.76,487.6,83263865
1/29/2013,478.02,484.34,476.33,484.01,88110620
1/28/2013,474.27,485.67,474.27,479.6,107355176
1/25/2013,455.28,468.09,455.25,468.09,86457646
1/24/2013,444.34,452.4,444.19,452.4,49810670
1/23/2013,443.96,447.79,440.48,443.37,50655794
1/22/2013,449.01,450.8,441.24,442.85,67329185
1/21/2013,453.91,456.34,447.79,447.79,58677982
1/18/2013,458.21,459.82,450.28,454.16,84204830
1/17/2013,465.66,466.55,456.76,456.76,96329037
1/16/2013,462.17,470.34,462.17,465.25,96572500
1/15/2013,459.24,461.42,455.93,461.42,88782010
1/14/2013,458.08,462.08,455.51,458.97,69545410
1/11/2013,468.39,469.16,461.74,462.69,75120758
1/10/2013,447.99,460.12,444.08,460.12,79394578
1/9/2013,447.16,457.75,442.26,448.77,134774030
1/8/2013,437.25,447.16,437.15,447.16,121101143
1/7/2013,428.53,434.64,426.86,434.19,78323432
1/4/2013,418.75,426.48,417.5,426.06,64852320
1/3/2013,420.68,420.68,413.68,419.27,99824757
1/2/2013,415.5,419.05,414.41,418.35,64288223
12/28/2012,409.49,413.73,408.32,413.73,84321532
12/27/2012,408.32,410.68,406.58,409.97,79451250
12/26/2012,399.43,406.1,398.31,406.1,59620310
12/25/2012,401.01,401.72,398.09,401.34,50845836
12/24/2012,397.25,400.22,396.57,399.71,73069068
12/21/2012,397.49,400.27,394.27,396.78,76824020
12/20/2012,399.13,400.71,397.86,399.68,82885045
12/19/2012,395.84,398.59,395.34,398.59,72581992
12/18/2012,396.21,396.45,392.34,393.39,52370029
12/17/2012,391.37,395.3,391.31,393.63,67395658
12/14/2012,392.23,394.61,392.05,392.21,43162657
12/13/2012,393.04,393.81,390.57,391.19,44113846
12/12/2012,388.41,393.13,386.46,391.08,47165810
12/11/2012,386.25,389.37,385.81,389.37,40403148
12/10/2012,384.84,387.67,383.53,386.69,44502757
12/7/2012,386.44,386.6,383.8,383.8,33519861
12/6/2012,385.59,386.62,384.53,385.69,36294890
12/5/2012,382.1,387.05,382.1,385.69,40537343
12/4/2012,379.02,382.1,377.89,382.1,29904296
12/3/2012,377.94,379.27,375.78,379.27,21896200
11/30/2012,380.01,380.18,377.52,377.82,45543539
11/29/2012,377.45,378.62,376.93,378.2,15945050
11/28/2012,376.13,377.32,374.15,375.79,29712825
11/27/2012,377.77,378.62,376.08,376.89,18726211
11/26/2012,382.43,382.62,377.82,377.9,22357263
11/23/2012,383.22,384.25,381.14,381.71,21445906
11/22/2012,383.44,384.1,382.57,383.22,18231190
11/21/2012,385.18,385.8,382.72,383.87,21613044
11/20/2012,383.23,385.37,381.84,385.1,24465850
11/19/2012,384.83,386.22,382.42,383.32,22546573
11/16/2012,385.83,386.25,383.16,385.71,22581300
11/15/2012,389.84,390.65,386.6,386.91,28759842
11/14/2012,384.74,389.4,384.61,387.71,23962970
11/13/2012,387.52,388.43,385.15,385.22,28501600
11/12/2012,386.71,388.94,385.66,388.62,41905680
11/9/2012,385.61,386.79,383.72,386.71,24758670
11/8/2012,380.32,385.6,380.13,385.6,23287530
11/7/2012,377.83,381.22,375.75,380.9,31147020
11/6/2012,377.27,379.05,375.12,376.95,46225973
11/5/2012,372.39,378.45,372.39,377.27,30985660
11/2/2012,378.74,380.33,374.98,375.26,59148335
11/1/2012,388.1,389.74,387.95,387.95,46094889
10/31/2012,388.5,390.05,387.39,388.42,57630532
10/30/2012,391.13,392.17,389.64,389.86,23079300
10/29/2012,390.96,392.6,390.63,391.36,29755953
10/26/2012,390.05,393.13,389.5,391.7,22930649
10/25/2012,393.79,394.54,389.92,389.92,43000911
10/24/2012,397.69,398.43,395.24,395.45,34212218
10/23/2012,397.27,399.22,395.89,397.71,35299820
10/22/2012,397.77,398.34,394.69,397,45948435
10/19/2012,399.52,400.46,394.98,398.23,52595495
10/18/2012,395.94,399.55,395.94,398.51,34993858
10/17/2012,399.22,400.97,395.91,397.02,59128129
10/16/2012,392.6,399.22,392.6,399.22,41176923
10/15/2012,392.88,394.19,390.72,391.56,36036000
10/12/2012,394.17,395.01,392.26,392.54,55379530
10/11/2012,395.32,397.55,393.87,394.19,45279050
10/10/2012,392.38,394.66,391.75,394.66,37966850
10/9/2012,394.36,394.87,392.26,393.67,38748634
10/8/2012,387.83,393.45,387.83,393.45,35591123
10/5/2012,384.78,388.16,384.65,388.16,27644140
10/4/2012,385.68,386.66,383.62,384.51,25984255
10/3/2012,385.61,387.6,383.07,385.37,36720670
10/2/2012,386.78,387.62,384.2,384.32,26082400
10/1/2012,391.74,391.86,386.42,386.55,29915035
9/28/2012,392.11,393.91,390.99,392.57,37103386
9/27/2012,395.66,396.67,391.34,393.34,28624967
9/26/2012,392.51,397.86,392.51,395.12,23824830
9/25/2012,391.17,394.06,390.14,391.77,23940349
9/24/2012,392.16,394.54,390.08,390.37,27739310
9/21/2012,391,395.55,391,395.48,101289704
